case_id,policy,true_state,legitimate_probability,error_probability,fraud_probability,action,expected_cost,actual_cost,human_review_required
case-012,policy_a,FRAUD,0.03525014751393814,0.9558997423747927,0.008850110111269172,APPROVE,24.782505,100.0,false
case-012,policy_b,FRAUD,0.03525014751393814,0.9558997423747927,0.008850110111269172,APPROVE,24.782505,100.0,false
case-013,baseline,ERROR,0.9838746083325132,0.01611311827884469,1.2273388642148524e-05,APPROVE,0.404055,25.0,false
case-013,policy_a,ERROR,0.9838746083325132,0.01611311827884469,1.2273388642148524e-05,APPROVE,0.404055,25.0,false
case-013,policy_b,ERROR,0.9838746083325132,0.01611311827884469,1.2273388642148524e-05,APPROVE,0.404055,25.0,false
case-014,baseline,ERROR,0.9251894643558805,0.07467781048552093,0.0001327251585986331,APPROVE,1.880218,25.0,false
case-014,policy_a,ERROR,0.9251894643558805,0.07467781048552093,0.0001327251585986331,APPROVE,1.880218,25.0,false
case-014,policy_b,ERROR,0.9251894643558805,0.07467781048552093,0.0001327251585986331,APPROVE,1.880218,25.0,false
case-015,baseline,LEGITIMATE,0.9885702993569082,0.011428249823650198,1.4508194416282897e-06,APPROVE,0.285851,0.0,false
case-015,policy_a,LEGITIMATE,0.9885702993569082,0.011428249823650198,1.4508194416282897e-06,APPROVE,0.285851,0.0,false
case-015,policy_b,LEGITIMATE,0.9885702993569082,0.011428249823650198,1.4508194416282897e-06,APPROVE,0.285851,0.0,false
case-016,baseline,FRAUD,0.5321707581893352,0.29502251869490853,0.1728067231157561,ESCALATE,9.654387,8.0,true
case-016,policy_a,FRAUD,0.5321707581893352,0.29502251869490853,0.1728067231157561,APPROVE,24.656235,100.0,false
case-016,policy_b,FRAUD,0.5321707581893352,0.29502251869490853,0.1728067231157561,VERIFY,6.749101,10.0,false
case-017,baseline,FRAUD,0.03525014751393814,0.9558997423747927,0.008850110111269172,HOLD,8.220201,5.0,true
case-017,policy_a,FRAUD,0.03525014751393814,0.9558997423747927,0.008850110111269172,APPROVE,24.782505,100.0,false
case-017,policy_b,FRAUD,0.03525014751393814,0.9558997423747927,0.008850110111269172,APPROVE,24.782505,100.0,false
case-018,baseline,ERROR,0.9290820009188779,0.07054583529270766,0.0003721637884144146,APPROVE,1.800862,25.0,false
case-018,policy_a,ERROR,0.9290820009188779,0.07054583529270766,0.0003721637884144146,APPROVE,1.800862,25.0,false
case-018,policy_b,ERROR,0.9290820009188779,0.07054583529270766,0.0003721637884144146,APPROVE,1.800862,25.0,false
case-019,baseline,LEGITIMATE,0.9838746083325132,0.01611311827884469,1.2273388642148524e-05,APPROVE,0.404055,0.0,false
case-019,policy_a,LEGITIMATE,0.9838746083325132,0.01611311827884469,1.2273388642148524e-05,APPROVE,0.404055,0.0,false
case-019,policy_b,LEGITIMATE,0.9838746083325132,0.01611311827884469,1.2273388642148524e-05,APPROVE,0.404055,0.0,false
case-020,baseline,ERROR,0.5572546459504775,0.4426243266785845,0.00012102737093796103,HOLD,11.900419,8.0,true
case-020,policy_a,ERROR,0.5572546459504775,0.4426243266785845,0.00012102737093796103,APPROVE,11.077711,25.0,false
case-020,policy_b,ERROR,0.5572546459504775,0.4426243266785845,0.00012102737093796103,APPROVE,11.077711,25.0,false
case-021,baseline,ERROR,0.6355070978123806,0.35532852462064596,0.009164377566973478,APPROVE,9.799651,25.0,false
case-021,policy_a,ERROR,0.6355070978123806,0.35532852462064596,0.009164377566973478,APPROVE,9.799651,25.0,false
case-021,policy_b,ERROR,0.6355070978123806,0.35532852462064596,0.009164377566973478,APPROVE,9.799651,25.0,false
case-022,baseline,FRAUD,0.03525014751393814,0.9558997423747927,0.008850110111269172,HOLD,8.220201,5.0,true
case-022,policy_a,FRAUD,0.03525014751393814,0.9558997423747927,0.008850110111269172,APPROVE,24.782505,100.0,false
case-022,policy_b,FRAUD,0.03525014751393814,0.9558997423747927,0.008850110111269172,APPROVE,24.782505,100.0,false
case-023,baseline,FRAUD,0.7233836227359742,0.2661847697063164,0.01043160755770936,VERIFY,5.850712,10.0,false
case-023,policy_a,FRAUD,0.7233836227359742,0.2661847697063164,0.01043160755770936,APPROVE,7.69778,100.0,false
case-023,policy_b,FRAUD,0.7233836227359742,0.2661847697063164,0.01043160755770936,APPROVE,7.69778,100.0,false
case-024,baseline,FRAUD,0.2967573591558373,0.6663327152672848,0.03690992557687794,APPROVE,20.34931,100.0,false
case-024,policy_a,FRAUD,0.2967573591558373,0.6663327152672848,0.03690992557687794,APPROVE,20.34931,100.0,false
case-024,policy_b,FRAUD,0.2967573591558373,0.6663327152672848,0.03690992557687794,APPROVE,20.34931,100.0,false
case-025,baseline,ERROR,0.5572546459504775,0.4426243266785845,0.00012102737093796103,HOLD,11.900419,8.0,true
case-025,policy_a,ERROR,0.5572546459504775,0.4426243266785845,0.00012102737093796103,APPROVE,11.077711,25.0,false
case-025,policy_b,ERROR,0.5572546459504775,0.4426243266785845,0.00012102737093796103,APPROVE,11.077711,25.0,false
case-026,baseline,ERROR,0.8920249458576973,0.10757446033200796,0.0004005938102946812,APPROVE,2.729421,25.0,false
case-026,policy_a,ERROR,0.8920249458576973,0.10757446033200796,0.0004005938102946812,APPROVE,2.729421,25.0,false
case-026,policy_b,ERROR,0.8920249458576973,0.10757446033200796,0.0004005938102946812,APPROVE,2.729421,25.0,false
case-027,baseline,FRAUD,0.03525014751393814,0.9558997423747927,0.008850110111269172,HOLD,8.220201,5.0,true
case-027,policy_a,FRAUD,0.03525014751393814,0.9558997423747927,0.008850110111269172,APPROVE,24.782505,100.0,false
case-027,policy_b,FRAUD,0.03525014751393814,0.9558997423747927,0.008850110111269172,APPROVE,24.782505,100.0,false
case-028,baseline,FRAUD,0.7233836227359742,0.2661847697063164,0.01043160755770936,VERIFY,5.850712,10.0,false
case-028,policy_a,FRAUD,0.7233836227359742,0.2661847697063164,0.01043160755770936,APPROVE,7.69778,100.0,false
case-028,policy_b,FRAUD,0.7233836227359742,0.2661847697063164,0.01043160755770936,APPROVE,7.69778,100.0,false
case-029,baseline,LEGITIMATE,0.9838746083325132,0.01611311827884469,1.2273388642148524e-05,APPROVE,0.404055,0.0,false
case-029,policy_a,LEGITIMATE,0.9838746083325132,0.01611311827884469,1.2273388642148524e-05,APPROVE,0.404055,0.0,false
case-029,policy_b,LEGITIMATE,0.9838746083325132,0.01611311827884469,1.2273388642148524e-05,APPROVE,0.404055,0.0,false
case-030,baseline,LEGITIMATE,0.9885702993569082,0.011428249823650198,1.4508194416282897e-06,APPROVE,0.285851,0.0,false
case-030,policy_a,LEGITIMATE,0.9885702993569082,0.011428249823650198,1.4508194416282897e-06,APPROVE,0.285851,0.0,false
case-030,policy_b,LEGITIMATE,0.9885702993569082,0.011428249823650198,1.4508194416282897e-06,APPROVE,0.285851,0.0,false
case-031,baseline,FRAUD,0.5321707581893352,0.29502251869490853,0.1728067231157561,ESCALATE,9.654387,8.0,true
case-031,policy_a,FRAUD,0.5321707581893352,0.29502251869490853,0.1728067231157561,APPROVE,24.656235,100.0,false
case-031,policy_b,FRAUD,0.5321707581893352,0.29502251869490853,0.1728067231157561,VERIFY,6.749101,10.0,false
case-032,baseline,ERROR,0.7696234543723621,0.22687708943608453,0.0034994561915532695,ESCALATE,9.993001,10.0,true
case-032,policy_a,ERROR,0.7696234543723621,0.22687708943608453,0.0034994561915532695,APPROVE,6.021873,25.0,false
case-032,policy_b,ERROR,0.7696234543723621,0.22687708943608453,0.0034994561915532695,APPROVE,6.021873,25.0,false
case-033,baseline,LEGITIMATE,0.9838746083325132,0.01611311827884469,1.2273388642148524e-05,APPROVE,0.404055,0.0,false
case-033,policy_a,LEGITIMATE,0.9838746083325132,0.01611311827884469,1.2273388642148524e-05,APPROVE,0.404055,0.0,false
case-033,policy_b,LEGITIMATE,0.9838746083325132,0.01611311827884469,1.2273388642148524e-05,APPROVE,0.404055,0.0,false
case-034,baseline,LEGITIMATE,0.9838746083325132,0.01611311827884469,1.2273388642148524e-05,APPROVE,0.404055,0.0,false
case-034,policy_a,LEGITIMATE,0.9838746083325132,0.01611311827884469,1.2273388642148524e-05,APPROVE,0.404055,0.0,false
case-034,policy_b,LEGITIMATE,0.9838746083325132,0.01611311827884469,1.2273388642148524e-05,APPROVE,0.404055,0.0,false
case-035,baseline,LEGITIMATE,0.9885702993569082,0.011428249823650198,1.4508194416282897e-06,APPROVE,0.285851,0.0,false
case-035,policy_a,LEGITIMATE,0.9885702993569082,0.011428249823650198,1.4508194416282897e-06,APPROVE,0.285851,0.0,false
case-035,policy_b,LEGITIMATE,0.9885702993569082,0.011428249823650198,1.4508194416282897e-06,APPROVE,0.285851,0.0,false
case-036,baseline,LEGITIMATE,0.9260840898536158,0.07350002093170419,0.0004158892146800165,VERIFY,5.22258,5.0,false
case-036,policy_a,LEGITIMATE,0.9260840898536158,0.07350002093170419,0.0004158892146800165,APPROVE,1.879089,0.0,false
case-036,policy_b,LEGITIMATE,0.9260840898536158,0.07350002093170419,0.0004158892146800165,APPROVE,1.879089,0.0,false
case-037,baseline,LEGITIMATE,0.9838746083325132,0.01611311827884469,1.2273388642148524e-05,APPROVE,0.404055,0.0,false
case-037,policy_a,LEGITIMATE,0.9838746083325132,0.01611311827884469,1.2273388642148524e-05,APPROVE,0.404055,0.0,false
case-037,policy_b,LEGITIMATE,0.9838746083325132,0.01611311827884469,1.2273388642148524e-05,APPROVE,0.404055,0.0,false
case-038,baseline,ERROR,0.9838746083325132,0.01611311827884469,1.2273388642148524e-05,APPROVE,0.404055,25.0,false
case-038,policy_a,ERROR,0.9838746083325132,0.01611311827884469,1.2273388642148524e-05,APPROVE,0.404055,25.0,false
case-038,policy_b,ERROR,0.9838746083325132,0.01611311827884469,1.2273388642148524e-05,APPROVE,0.404055,25.0,false
case-039,baseline,LEGITIMATE,0.9838746083325132,0.01611311827884469,1.2273388642148524e-05,APPROVE,0.404055,0.0,false
case-039,policy_a,LEGITIMATE,0.9838746083325132,0.01611311827884469,1.2273388642148524e-05,APPROVE,0.404055,0.0,false
case-039,policy_b,LEGITIMATE,0.9838746083325132,0.01611311827884469,1.2273388642148524e-05,APPROVE,0.404055,0.0,false
case-040,baseline,LEGITIMATE,0.9469013508191996,0.053048621191856334,5.00279889440191e-05,VERIFY,5.159396,5.0,false
case-040,policy_a,LEGITIMATE,0.9469013508191996,0.053048621191856334,5.00279889440191e-05,APPROVE,1.331218,0.0,false
case-040,policy_b,LEGITIMATE,0.9469013508191996,0.053048621191856334,5.00279889440191e-05,APPROVE,1.331218,0.0,false
