case_id,policy,true_state,legitimate_probability,error_probability,fraud_probability,action,expected_cost,actual_cost,human_review_required
case-001,baseline,LEGITIMATE,0.9838746083325132,0.01611311827884469,1.2273388642148524e-05,APPROVE,0.404055,0.0,false
case-001,policy_a,LEGITIMATE,0.9838746083325132,0.01611311827884469,1.2273388642148524e-05,APPROVE,0.404055,0.0,false
case-001,policy_b,LEGITIMATE,0.9838746083325132,0.01611311827884469,1.2273388642148524e-05,APPROVE,0.404055,0.0,false
case-002,baseline,LEGITIMATE,0.9838746083325132,0.01611311827884469,1.2273388642148524e-05,APPROVE,0.404055,0.0,false
case-002,policy_a,LEGITIMATE,0.9838746083325132,0.01611311827884469,1.2273388642148524e-05,APPROVE,0.404055,0.0,false
case-002,policy_b,LEGITIMATE,0.9838746083325132,0.01611311827884469,1.2273388642148524e-05,APPROVE,0.404055,0.0,false
case-003,baseline,LEGITIMATE,0.9838746083325132,0.01611311827884469,1.2273388642148524e-05,APPROVE,0.404055,0.0,false
case-003,policy_a,LEGITIMATE,0.9838746083325132,0.01611311827884469,1.2273388642148524e-05,APPROVE,0.404055,0.0,false
case-003,policy_b,LEGITIMATE,0.9838746083325132,0.01611311827884469,1.2273388642148524e-05,APPROVE,0.404055,0.0,false
case-004,baseline,FRAUD,0.2967573591558373,0.6663327152672848,0.03690992557687794,APPROVE,20.34931,100.0,false
case-004,policy_a,FRAUD,0.2967573591558373,0.6663327152672848,0.03690992557687794,APPROVE,20.34931,100.0,false
case-004,policy_b,FRAUD,0.2967573591558373,0.6663327152672848,0.03690992557687794,APPROVE,20.34931,100.0,false
case-005,baseline,ERROR,0.5572546459504775,0.4426243266785845,0.00012102737093796103,HOLD,11.900419,8.0,true
case-005,policy_a,ERROR,0.5572546459504775,0.4426243266785845,0.00012102737093796103,APPROVE,11.077711,25.0,false
case-005,policy_b,ERROR,0.5572546459504775,0.4426243266785845,0.00012102737093796103,APPROVE,11.077711,25.0,false
case-006,baseline,ERROR,0.6355070978123806,0.35532852462064596,0.009164377566973478,APPROVE,9.799651,25.0,false
case-006,policy_a,ERROR,0.6355070978123806,0.35532852462064596,0.009164377566973478,APPROVE,9.799651,25.0,false
case-006,policy_b,ERROR,0.6355070978123806,0.35532852462064596,0.009164377566973478,APPROVE,9.799651,25.0,false
case-007,baseline,FRAUD,0.03525014751393814,0.9558997423747927,0.008850110111269172,HOLD,8.220201,5.0,true
case-007,policy_a,FRAUD,0.03525014751393814,0.9558997423747927,0.008850110111269172,APPROVE,24.782505,100.0,false
case-007,policy_b,FRAUD,0.03525014751393814,0.9558997423747927,0.008850110111269172,APPROVE,24.782505,100.0,false
case-008,baseline,LEGITIMATE,0.9260840898536158,0.07350002093170419,0.0004158892146800165,VERIFY,5.22258,5.0,false
case-008,policy_a,LEGITIMATE,0.9260840898536158,0.07350002093170419,0.0004158892146800165,APPROVE,1.879089,0.0,false
case-008,policy_b,LEGITIMATE,0.9260840898536158,0.07350002093170419,0.0004158892146800165,APPROVE,1.879089,0.0,false
case-009,baseline,LEGITIMATE,0.9838746083325132,0.01611311827884469,1.2273388642148524e-05,APPROVE,0.404055,0.0,false
case-009,policy_a,LEGITIMATE,0.9838746083325132,0.01611311827884469,1.2273388642148524e-05,APPROVE,0.404055,0.0,false
case-009,policy_b,LEGITIMATE,0.9838746083325132,0.01611311827884469,1.2273388642148524e-05,APPROVE,0.404055,0.0,false
case-010,baseline,FRAUD,0.4797732792245779,0.42874736942018643,0.09147935135523569,VERIFY,6.743639,10.0,false
case-010,policy_a,FRAUD,0.4797732792245779,0.42874736942018643,0.09147935135523569,APPROVE,19.866619,100.0,false
case-010,policy_b,FRAUD,0.4797732792245779,0.42874736942018643,0.09147935135523569,APPROVE,19.866619,100.0,false
case-011,baseline,ERROR,0.8920249458576973,0.10757446033200796,0.0004005938102946812,APPROVE,2.729421,25.0,false
case-011,policy_a,ERROR,0.8920249458576973,0.10757446033200796,0.0004005938102946812,APPROVE,2.729421,25.0,false
case-011,policy_b,ERROR,0.8920249458576973,0.10757446033200796,0.0004005938102946812,APPROVE,2.729421,25.0,false
case-012,baseline,FRAUD,0.03525014751393814,0.9558997423747927,0.008850110111269172,HOLD,8.220201,5.0,true
